N= Not running, W= Waiting, A= Active
|  0    1    2  |
Time: 0|  W  |  N  |  N  |
Time: 5|  W  |  N  |  N  |
Time: 10|  W  |  A  |  N  |
Time: 15|  W  |  A  |  N  |
Time: 20|  W  |  A  |  W  |
Time: 25|  W  |  A  |  W  |
Time: 30|  W  |  A  |  W  |
Time: 35|  W  |  A  |  W  |
Time: 40|  W  |  A  |  W  |
Time: 45|  W  |  A  |  W  |
Time: 50|  W  |  A  |  W  |
Time: 55|  W  |  A  |  W  |
Time: 60|  W  |  A  |  W  |
Time: 65|  W  |  A  |  W  |
Time: 70|  W  |  A  |  W  |
Time: 75|  W  |  A  |  W  |
Time: 80|  A  |  N  |  W  |
Time: 85|  A  |  N  |  W  |
Time: 90|  A  |  N  |  W  |
Time: 95|  A  |  N  |  W  |
Time: 100|  A  |  N  |  W  |
Time: 105|  A  |  N  |  W  |
Time: 110|  A  |  N  |  W  |
Time: 115|  A  |  N  |  W  |
Time: 120|  A  |  N  |  W  |
Time: 125|  A  |  N  |  W  |
Time: 130|  A  |  N  |  W  |
Time: 135|  A  |  N  |  W  |
Time: 140|  A  |  N  |  W  |
Time: 145|  A  |  N  |  W  |
Time: 150|  A  |  N  |  W  |
Time: 155|  A  |  N  |  W  |
Time: 160|  A  |  N  |  W  |
Time: 165|  A  |  N  |  W  |
Time: 170|  A  |  N  |  W  |
Time: 175|  A  |  N  |  W  |
Time: 180|  A  |  N  |  W  |
Time: 185|  A  |  N  |  W  |
Time: 190|  A  |  N  |  W  |
Time: 195|  A  |  N  |  W  |
Time: 200|  A  |  N  |  W  |
Time: 205|  A  |  N  |  W  |
Time: 210|  A  |  N  |  W  |
Time: 215|  A  |  N  |  W  |
Time: 220|  A  |  N  |  W  |
Time: 225|  A  |  N  |  W  |
Time: 230|  A  |  N  |  W  |
Time: 235|  A  |  N  |  W  |
Time: 240|  A  |  N  |  W  |
Time: 245|  A  |  N  |  W  |
Time: 250|  A  |  N  |  W  |
Time: 255|  A  |  N  |  W  |
Time: 260|  A  |  N  |  W  |
Time: 265|  A  |  N  |  W  |
Time: 270|  N  |  N  |  A  |
Time: 275|  N  |  N  |  A  |
Time: 280|  N  |  N  |  A  |
Time: 285|  N  |  N  |  A  |
Time: 290|  N  |  N  |  A  |
Time: 295|  N  |  N  |  A  |
Time: 300|  N  |  N  |  A  |
Time: 305|  N  |  N  |  A  |
Average time to completion is: 109
